method,support_size,target_pdp,snr_db,seed_count,mean_ber,std_ber,min_ber,max_ber
algorithm1_particular_adaptation,128,7,6.0,3,0.2386159896850586,0.0009413949066854814,0.23733806610107422,0.2395782470703125
algorithm1_particular_adaptation,128,7,8.0,3,0.19949626922607422,0.0008840826675936025,0.19833755493164062,0.20048236846923828
algorithm1_particular_adaptation,128,7,10.0,3,0.16660626729329428,0.0010116050831826598,0.165435791015625,0.16790390014648438
algorithm1_particular_adaptation,128,7,12.0,3,0.14108562469482422,0.0011048672639765555,0.14007091522216797,0.1426219940185547
algorithm1_particular_adaptation,128,7,14.0,3,0.12202135721842448,0.0008418956107650243,0.12129402160644531,0.12320137023925781
algorithm1_particular_adaptation,128,7,16.0,3,0.10926151275634766,0.00036402137170626686,0.10877227783203125,0.10964488983154297
algorithm1_particular_adaptation,128,7,18.0,3,0.10065809885660808,0.00029428472653597625,0.10024642944335938,0.10091686248779297
algorithm1_particular_adaptation,128,7,20.0,3,0.09468587239583333,0.0006159566434273794,0.09388923645019531,0.09538936614990234
algorithm1_particular_adaptation,256,6,0.0,3,0.36554114023844403,0.0005097858800650868,0.36504268646240234,0.366241455078125
algorithm1_particular_adaptation,256,6,2.0,3,0.32230567932128906,0.0007162371366360521,0.32131290435791016,0.32297611236572266
algorithm1_particular_adaptation,256,6,4.0,3,0.27545833587646484,0.0012530832945535234,0.27440929412841797,0.2772197723388672
algorithm1_particular_adaptation,256,6,6.0,3,0.2283198038736979,0.0019849469306188064,0.22641563415527344,0.23105812072753906
algorithm1_particular_adaptation,256,6,8.0,3,0.185453732808431,0.0019505370544000541,0.1837921142578125,0.18819141387939453
algorithm1_particular_adaptation,256,6,10.0,3,0.1489903132120768,0.0022845229710146287,0.14636898040771484,0.15193653106689453
algorithm1_particular_adaptation,256,6,12.0,3,0.1216739018758138,0.0020481502899197903,0.11922836303710938,0.12424087524414062
algorithm1_particular_adaptation,256,6,14.0,3,0.10053857167561848,0.0027779158692721327,0.09753036499023438,0.10423088073730469
algorithm1_particular_adaptation,256,6,16.0,3,0.08729966481526692,0.002265560654830304,0.08478546142578125,0.09027671813964844
algorithm1_particular_adaptation,256,6,18.0,3,0.07817872365315755,0.002150553181405441,0.07615852355957031,0.08115768432617188
algorithm1_particular_adaptation,256,6,20.0,3,0.0733639399210612,0.0016419654422989217,0.07121658325195312,0.07520294189453125
algorithm1_particular_adaptation,256,7,0.0,3,0.3634662628173828,0.0010455367750168006,0.3620281219482422,0.3644828796386719
algorithm1_particular_adaptation,256,7,2.0,3,0.31903425852457684,0.001782924734533565,0.3171663284301758,0.32143497467041016
algorithm1_particular_adaptation,256,7,4.0,3,0.2717234293619792,0.0017515156520520677,0.2697563171386719,0.27401065826416016
algorithm1_particular_adaptation,256,7,6.0,3,0.22593148549397787,0.0014858854550957245,0.2243499755859375,0.2279205322265625
algorithm1_particular_adaptation,256,7,8.0,3,0.18304061889648438,0.001843523907908829,0.18064117431640625,0.18512344360351562
algorithm1_particular_adaptation,256,7,10.0,3,0.14777755737304688,0.0017440995518100196,0.14534282684326172,0.1493368148803711
algorithm1_particular_adaptation,256,7,12.0,3,0.12020524342854817,0.0025669344140277,0.11764049530029297,0.12371253967285156
algorithm1_particular_adaptation,256,7,14.0,3,0.10011863708496094,0.0018192901769062044,0.09844112396240234,0.1026468276977539
algorithm1_particular_adaptation,256,7,16.0,3,0.08705743153889973,0.0014889521227539897,0.0858926773071289,0.08915901184082031
algorithm1_particular_adaptation,256,7,18.0,3,0.07868893941243489,0.0012599603817271935,0.07727909088134766,0.0803375244140625
algorithm1_particular_adaptation,256,7,20.0,3,0.07312870025634766,0.0017158140862967458,0.07124900817871094,0.07539749145507812
algorithm1_particular_adaptation,512,6,0.0,3,0.36606788635253906,0.00019030203983401575,0.3658428192138672,0.3663082122802734
algorithm1_particular_adaptation,512,6,2.0,3,0.3222761154174804,0.000562710410194642,0.3215351104736328,0.3228979110717773
algorithm1_particular_adaptation,512,6,4.0,3,0.2751579284667969,0.00034945712029700284,0.2746686935424804,0.2754631042480469
algorithm1_particular_adaptation,512,6,6.0,3,0.22731399536132812,0.0009575482207049376,0.2264795303344726,0.2286548614501953
algorithm1_particular_adaptation,512,6,8.0,3,0.18388684590657545,0.0008787546360043887,0.1826982498168945,0.1847953796386718
algorithm1_particular_adaptation,512,6,10.0,3,0.14683341979980466,0.0005121458985024748,0.1462688446044922,0.1475086212158203
algorithm1_particular_adaptation,512,6,12.0,3,0.11893272399902337,9.989785882416975e-05,0.1188154220581054,0.1190595626831054
algorithm1_particular_adaptation,512,6,14.0,3,0.09791596730550127,0.0008866409956651193,0.0970563888549804,0.0991363525390625
algorithm1_particular_adaptation,512,6,16.0,3,0.08455721537272133,0.00033230346346522143,0.084228515625,0.0850124359130859
algorithm1_particular_adaptation,512,6,18.0,3,0.07549095153808587,0.0005248109420034077,0.074869155883789,0.0761528015136718
algorithm1_particular_adaptation,512,6,20.0,3,0.0708433787027994,0.0004990535164228622,0.070322036743164,0.0715160369873046
algorithm1_particular_adaptation,512,7,0.0,3,0.3644968668619792,0.0010762175106069384,0.3629827499389648,0.3653879165649414
algorithm1_particular_adaptation,512,7,2.0,3,0.3199218114217122,0.0017508326899843103,0.3181104660034179,0.3222894668579101
algorithm1_particular_adaptation,512,7,4.0,3,0.2722291946411133,0.0015689182135893976,0.2704200744628906,0.2742462158203125
algorithm1_particular_adaptation,512,7,6.0,3,0.22640037536621085,0.0011429451478794132,0.2251539230346679,0.227914810180664
algorithm1_particular_adaptation,512,7,8.0,3,0.1829134623209635,0.0013106706042318253,0.181065559387207,0.1839628219604492
algorithm1_particular_adaptation,512,7,10.0,3,0.1470390955607096,0.0014013887046577193,0.145085334777832,0.1483039855957031
algorithm1_particular_adaptation,512,7,12.0,3,0.11915524800618486,0.0017108308258427171,0.1173048019409179,0.1214303970336914
algorithm1_particular_adaptation,512,7,14.0,3,0.0990972518920898,0.0012859366077520769,0.0977725982666015,0.1008386611938476
algorithm1_particular_adaptation,512,7,16.0,3,0.08573341369628901,0.0008174363090870146,0.0850963592529296,0.0868873596191406
algorithm1_particular_adaptation,512,7,18.0,3,0.07715765635172521,0.0009078262649859364,0.0759553909301757,0.0781488418579101
algorithm1_particular_adaptation,512,7,20.0,3,0.07177066802978513,0.0012388969626370113,0.0703878402709961,0.0733938217163086
algorithm1_particular_adaptation,1024,6,0.0,3,0.3646990458170573,0.0004032846017395069,0.3642349243164062,0.3652181625366211
algorithm1_particular_adaptation,1024,6,2.0,3,0.3209168116251628,0.0003718158613591221,0.3206157684326172,0.3214406967163086
algorithm1_particular_adaptation,1024,6,4.0,3,0.2737792332967122,0.00062373961931926,0.2729749679565429,0.2744951248168945
algorithm1_particular_adaptation,1024,6,6.0,3,0.22614638010660804,0.0016551515899662585,0.2247886657714843,0.2284765243530273
algorithm1_particular_adaptation,1024,6,8.0,3,0.18191083272298178,0.0012197486636182807,0.1806535720825195,0.1835622787475586
algorithm1_particular_adaptation,1024,6,10.0,3,0.14519214630126945,0.0004067887707636289,0.1446199417114257,0.1455297470092773
algorithm1_particular_adaptation,1024,6,12.0,3,0.11745103200276687,0.00016456401900145595,0.1172189712524414,0.1175823211669921
algorithm1_particular_adaptation,1024,6,14.0,3,0.09650580088297522,0.0008716358336800693,0.0955038070678711,0.0976285934448242
algorithm1_particular_adaptation,1024,6,16.0,3,0.08265781402587886,0.00025164114418359896,0.0823554992675781,0.0829715728759765
algorithm1_particular_adaptation,1024,6,18.0,3,0.07409858703613277,0.0002205401497718951,0.0739383697509765,0.0744104385375976
algorithm1_particular_adaptation,1024,6,20.0,3,0.06929620107014971,0.0005634837153333728,0.0688123703002929,0.0700864791870117
algorithm1_particular_adaptation,1024,7,0.0,3,0.3637746175130208,0.00047642520487692705,0.3631801605224609,0.3643465042114258
algorithm1_particular_adaptation,1024,7,2.0,3,0.31903807322184247,0.0015170799982065007,0.3176755905151367,0.3211545944213867
algorithm1_particular_adaptation,1024,7,4.0,3,0.2715263366699218,0.0009237972249775284,0.270359992980957,0.2726192474365234
algorithm1_particular_adaptation,1024,7,6.0,3,0.2250871658325195,0.0013557360646584739,0.2234916687011718,0.2268056869506836
algorithm1_particular_adaptation,1024,7,8.0,3,0.18125502268473306,0.0009796466199798427,0.1798715591430664,0.1820106506347656
algorithm1_particular_adaptation,1024,7,10.0,3,0.14540863037109372,0.0009655885342965085,0.1440439224243164,0.1461324691772461
algorithm1_particular_adaptation,1024,7,12.0,3,0.11753463745117183,0.0018797800561865805,0.1156282424926757,0.1200923919677734
algorithm1_particular_adaptation,1024,7,14.0,3,0.0978266398111979,0.0011293966580374765,0.096649169921875,0.0993499755859375
algorithm1_particular_adaptation,1024,7,16.0,3,0.0841588973999023,0.0009942230463952653,0.083404541015625,0.0855636596679687
algorithm1_particular_adaptation,1024,7,18.0,3,0.07594235738118486,0.0008330952740406645,0.074833869934082,0.0768423080444336
algorithm1_particular_adaptation,1024,7,20.0,3,0.07026545206705727,0.0013416398687029784,0.0687713623046875,0.0720252990722656
algorithm1_particular_adaptation,2048,6,0.0,3,0.36330827077229816,0.000402054383268052,0.3627405166625976,0.3636188507080078
algorithm1_particular_adaptation,2048,6,2.0,3,0.3185895284016927,0.0010471576571511718,0.3171491622924804,0.3196077346801758
algorithm1_particular_adaptation,2048,6,4.0,3,0.27179304758707673,0.00035514805365003164,0.2712936401367187,0.2720890045166015
algorithm1_particular_adaptation,2048,6,6.0,3,0.22339693705240884,0.0011971195629519164,0.2222537994384765,0.2250499725341797
algorithm1_particular_adaptation,2048,6,8.0,3,0.17901388804117838,0.0007031369155390014,0.1780757904052734,0.1797685623168945
algorithm1_particular_adaptation,2048,6,10.0,3,0.1428429285685221,0.0005330856500564663,0.1421747207641601,0.1434793472290039
algorithm1_particular_adaptation,2048,6,12.0,3,0.11478932698567702,0.00033217662769770523,0.1143875122070312,0.1152009963989257
algorithm1_particular_adaptation,2048,6,14.0,3,0.09404150644938149,0.0007015856132278264,0.0934810638427734,0.0950307846069336
algorithm1_particular_adaptation,2048,6,16.0,3,0.08036994934082024,0.0002825108925142169,0.0800113677978515,0.0807018280029296
algorithm1_particular_adaptation,2048,6,18.0,3,0.07213942209879554,0.0003187482730537794,0.0717782974243164,0.0725536346435546
algorithm1_particular_adaptation,2048,6,20.0,3,0.06714121500651037,0.00045612248516193346,0.0668115615844726,0.0677862167358398
algorithm1_particular_adaptation,2048,7,0.0,3,0.3625914255777995,0.000685539650214798,0.3618488311767578,0.3635025024414062
algorithm1_particular_adaptation,2048,7,2.0,3,0.31739648183186847,0.001078539270182832,0.3160848617553711,0.3187265396118164
algorithm1_particular_adaptation,2048,7,4.0,3,0.2692467371622721,0.0005920985555489571,0.268437385559082,0.2698373794555664
algorithm1_particular_adaptation,2048,7,6.0,3,0.2225027084350585,0.0011018500639652581,0.2213029861450195,0.2239637374877929
algorithm1_particular_adaptation,2048,7,8.0,3,0.17890707651774088,0.0012197185890575628,0.1772298812866211,0.1800947189331054
algorithm1_particular_adaptation,2048,7,10.0,3,0.14336617787679032,0.0012019208356772912,0.1416664123535156,0.1442203521728515
algorithm1_particular_adaptation,2048,7,12.0,3,0.11544195810953774,0.0014577537834176946,0.1136674880981445,0.1172380447387695
algorithm1_particular_adaptation,2048,7,14.0,3,0.0958614349365234,0.001008333704701831,0.0949745178222656,0.0972719192504882
