layer_name,parameter_group,parameter_count,delta_l2,relative_delta_l2,maximum_absolute_delta,seed,target_pdp,support_size,method
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,7,64,algorithm1_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
decoder_conv_1,particular,102656,0.05251755192875862,0.004603622642058332,0.0014295019209384918,2026,7,128,joint_particular_adaptation
decoder_res1_input,particular,163968,0.0621773786842823,0.004669265913392463,0.001890711486339569,2026,7,128,joint_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
decoder_res1_conv2,particular,82048,0.08558516204357147,0.0072283139920603905,0.002010861411690712,2026,7,128,joint_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,7,128,joint_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
